Customer ID,Product ID,Product Category,Purchase Amount,Purchase Date
C1391,P338,Category_8,190.4,2023-02-13
C2325,P264,Category_1,475.6,2023-12-06
C2746,P048,Category_7,367.34,2023-05-01
C2543,P116,Category_2,301.34,2023-04-12
C1208,P013,Category_1,82.23,2023-01-24
C2006,P244,Category_8,82.22,2023-11-09
C0597,P234,Category_2,33.75,2023-08-01
C4716,P100,Category_3,433.76,2023-12-23
C3146,P254,Category_4,302.55,2023-07-24
C1999,P076,Category_4,355.5,2023-12-02
C0046,P458,Category_1,15.19,2023-02-24
C3483,P113,Category_8,485.11,2023-04-01
C4244,P238,Category_9,417.06,2023-01-26
C4567,P128,Category_9,110.11,2023-03-04
C3740,P069,Category_6,95.0,2023-08-26
C4352,P287,Category_3,95.79,2023-11-01
C2600,P487,Category_1,155.6,2023-08-15
C4136,P219,Category_8,264.75,2023-10-08
C3653,P460,Category_9,218.81,2023-03-23
C3889,P231,Category_1,149.16,2023-05-13
C2026,P431,Category_6,307.87,2023-11-23
C2272,P393,Category_6,74.05,2023-09-24
C3970,P321,Category_1,149.61,2023-05-03
C2250,P226,Category_7,186.35,2023-02-09
C2341,P121,Category_2,230.75,2023-05-20
C2752,P164,Category_4,393.66,2023-10-04
C0661,P071,Category_5,103.84,2023-03-19
C1895,P197,Category_4,259.55,2023-12-22
C1252,P362,Category_5,298.25,2023-04-20
C0527,P213,Category_9,27.99,2023-07-28
C2711,P278,Category_9,305.73,2023-08-27
C3407,P032,Category_5,89.41,2023-04-16
C3442,P200,Category_1,37.2,2023-10-27
C0161,P439,Category_3,474.7,2023-10-22
C3117,P245,Category_4,482.99,2023-01-04
C2882,P153,Category_9,405.16,2023-07-19
C3433,P276,Category_1,155.78,2023-10-07
C4942,P460,Category_9,53.35,2023-04-23
C4000,P113,Category_8,343.7,2023-05-20
C3571,P249,Category_2,222.88,2023-01-15
C3186,P173,Category_8,65.41,2023-12-09
C3313,P371,Category_5,250.11,2023-03-26
C3829,P471,Category_5,22.02,2023-03-07
C4376,P014,Category_2,455.11,2023-07-21
C4849,P289,Category_9,133.1,2023-12-06
C0223,P043,Category_5,332.95,2023-11-26
C3512,P070,Category_4,159.3,2023-08-25
C1489,P026,Category_10,262.43,2023-05-14
C3106,P168,Category_8,275.62,2023-04-19
C3725,P168,Category_8,96.5,2023-06-22
C3106,P143,Category_9,484.94,2023-08-04
C2067,P428,Category_5,388.69,2023-02-11
C3853,P010,Category_10,470.05,2023-10-04
C0427,P488,Category_5,447.94,2023-06-29
C1837,P333,Category_2,300.96,2023-02-05
C0330,P387,Category_7,461.33,2023-01-16
C2026,P103,Category_9,48.8,2023-01-11
C1249,P123,Category_7,102.01,2023-03-06
C3880,P343,Category_1,27.39,2023-02-28
C4621,P486,Category_9,166.04,2023-04-22
C3810,P359,Category_5,197.4,2023-05-12
C3022,P086,Category_1,139.32,2023-11-07
C4975,P494,Category_6,415.23,2023-02-28
C1342,P494,Category_6,181.59,2023-06-09
C0886,P297,Category_2,144.06,2023-01-14
C2556,P295,Category_4,273.63,2023-12-13
C3075,P204,Category_2,74.76,2023-04-12
C0623,P304,Category_2,402.09,2023-12-20
C1990,P053,Category_6,41.9,2023-12-23
C2471,P436,Category_1,493.51,2023-12-17
C4919,P413,Category_2,387.26,2023-03-03
C4637,P401,Category_3,103.36,2023-01-22
C2845,P273,Category_4,7.73,2023-08-08
C3036,P036,Category_2,408.65,2023-09-17
C2796,P007,Category_2,354.89,2023-08-04
C4016,P055,Category_4,365.86,2023-08-10
C2968,P326,Category_2,386.78,2023-08-24
C1254,P223,Category_2,41.65,2023-04-01
C4275,P495,Category_8,182.44,2023-11-30
C2213,P316,Category_3,62.36,2023-10-03
C3961,P239,Category_8,432.24,2023-08-12
C4854,P138,Category_8,313.53,2023-06-15
C2012,P426,Category_7,168.79,2023-02-14
C2285,P452,Category_7,36.46,2023-08-19
C1998,P385,Category_9,158.94,2023-08-26
C4669,P313,Category_4,165.97,2023-12-09
C3105,P173,Category_8,366.16,2023-01-15
C4050,P436,Category_1,320.59,2023-06-16
C1490,P250,Category_1,444.17,2023-04-19
C2907,P409,Category_7,238.75,2023-05-13
C2789,P144,Category_2,64.2,2023-11-02
C2264,P285,Category_9,358.06,2023-01-06
C4233,P486,Category_9,381.59,2023-04-08
C0702,P124,Category_10,282.83,2023-07-28
C4003,P285,Category_9,386.63,2023-05-04
C3901,P331,Category_3,249.43,2023-12-31
C4021,P230,Category_2,263.75,2023-01-09
C0763,P151,Category_3,216.63,2023-04-24
C3313,P355,Category_10,17.58,2023-05-05
C2509,P340,Category_5,58.41,2023-10-25
C3024,P243,Category_5,20.56,2023-10-11
C4350,P177,Category_9,320.02,2023-08-06
C4509,P170,Category_9,160.61,2023-06-30
C3718,P139,Category_1,256.74,2023-06-06
C2060,P119,Category_7,454.25,2023-03-03
C1578,P162,Category_4,128.4,2023-03-03
C4390,P487,Category_1,208.14,2023-12-20
C1517,P099,Category_5,379.0,2023-04-21
C3967,P142,Category_3,118.26,2023-10-29
C4298,P306,Category_10,43.11,2023-05-25
C0824,P427,Category_6,148.43,2023-04-10
C2427,P117,Category_3,84.8,2023-07-04
C1470,P155,Category_10,465.2,2023-01-08
C4376,P065,Category_8,405.02,2023-05-21
C0373,P499,Category_9,318.53,2023-01-28
C4534,P150,Category_6,436.37,2023-12-24
C1035,P327,Category_9,402.82,2023-09-09
C0841,P447,Category_6,97.35,2023-01-07
C4703,P146,Category_9,446.82,2023-08-29
C3922,P226,Category_7,271.97,2023-06-24
C1511,P495,Category_8,404.68,2023-01-27
C2069,P482,Category_10,448.57,2023-09-02
C0935,P421,Category_5,162.41,2023-02-03
C3283,P252,Category_1,59.48,2023-02-07
C4727,P323,Category_10,117.83,2023-12-18
C0440,P078,Category_8,216.42,2023-03-18
C4611,P486,Category_9,409.92,2023-06-05
C0698,P128,Category_9,431.06,2023-03-02
C4572,P392,Category_1,8.44,2023-08-02
C4967,P306,Category_10,257.82,2023-11-13
C1849,P398,Category_9,211.62,2023-09-25
C3117,P231,Category_1,114.94,2023-08-15
C2436,P441,Category_5,64.33,2023-10-29
C3513,P157,Category_8,172.12,2023-10-19
C0494,P313,Category_4,471.74,2023-02-20
C1703,P321,Category_1,164.99,2023-04-19
C2168,P339,Category_9,261.8,2023-02-11
C1287,P123,Category_7,352.99,2023-03-30
C4522,P039,Category_2,185.0,2023-03-22
C0022,P210,Category_5,486.03,2023-08-19
C4865,P241,Category_7,481.41,2023-05-30
C0268,P119,Category_7,129.63,2023-05-28
C2317,P360,Category_9,251.14,2023-08-21
C0584,P352,Category_3,153.93,2023-04-30
C2168,P404,Category_3,146.0,2023-11-17
